France,FRA
Croatia,HRV
Greece,GRC
Italy,ITA
Netherlands,NLD
Spain,ESP
Florida,US
Illinois,US
Mexico,MEX
Portugal,PRT
United Kingdom,GBR
Connecticut,US
Malta,MLT
Maryland,US
California,US
Texas,US
North Carolina,US
Grenada,GRD
Rhode Island,US
Washington,US
Netherlands Antilles,nan
Turkey,TUR
Germany,DEU
Estonia,EST
Ireland,IRL
New York,US
Michigan,US
Maine,US
Virginia,US
Martinique,MTQ
Denmark,DNK
Cyprus,CYP
Panama,PAN
Antigua and Barbuda,ATG
Slovenia,SVN
Bahamas,BHS
Hawaii,US
Alabama,US
Georgia,US
South Carolina,US
Trinidad and Tobago,TTO
Oregon,US
Romania,ROU
Massachusetts,US
Sweden,SWE
Cork,IRL
New Jersey,US
Wisconsin,US
Ohio,US
Gibraltar,GIB
Belgium,BEL
Bulgaria,BGR
Saint Lucia,LCA
West Indies,nan
Dominican Republic,DOM
Guadeloupe,GLP
Louisiana,US
Mississippi,US
Monaco,MCO
Puerto Rico,PRI
British Virgin Islands,VGB
Sint Maarten (Dutch part),SXM
Aruba,ABW
Switzerland,CHE
U.S. Virgin Islands,VIR
Saint Vincent and the Grenadines,VCT
Guatemala,GTM
Norway,NOR
Jersey,JEY
Saint Kitts and Nevis,KNA
Hungary,HUN
Belize,BLZ
Honduras,HND
Cayman Islands,CYM
Saint-Martin,MAF
Lagos,nan
Barbados,BRB
